Knowledge,Enthusiasm,Organization,Preparedness,Ability to Explain Difficult Concepts,Speaking Ability,Approachability,Encourages Discussion,Effectiveness of Examples,Numerical Rating,Rating
4.050221773,4.250899179,3.778780554,4.051794889,4.139815575,4.117383005,4.090689617,3.653323991,4.129649549,4.048144414,Average
3.219581616,3.906473109,4.007516418,3.96869628,3.575523097,4.400074813,4.01059933,4.078160327,3.849186238,3.854070308,Average
4.358661411,3.920741301,3.962800871,4.157809202,3.843780776,4.159228201,3.801257164,3.762859973,4.015250163,3.991837539,Average
4.304456614,4.380154938,3.945035793,3.756663593,4.007590465,3.523998506,4.14977036,4.134629437,3.111975872,3.936495922,Average
3.99068326,4.609383569,4.035943728,4.234617401,3.874310277,3.733898795,3.966155784,3.811667487,4.22360311,4.059976864,Average
3.57346334,3.23225693,3.87279661,4.069153133,3.998579282,3.742298113,3.895462569,4.02238721,4.548620012,3.882182213,Average
3.801415551,3.508948674,4.276695918,3.87166541,4.100936402,4.3741554,4.135397808,3.701971874,3.893467713,3.955608085,Average
4.06771516,3.795258158,4.017040341,3.353363127,3.739661147,4.076512784,4.534470889,4.185305479,4.040086517,3.980154358,Average
3.643760842,3.786115912,4.677687911,4.04514614,3.997518743,4.3353336,3.645515596,4.152310227,3.955372276,3.99218442,Average
4.002989948,3.314430407,3.710630726,4.021741119,3.702082288,4.41506447,3.901789807,4.246486294,3.57798645,3.844877749,Average
4.18866176,3.911257465,3.735035542,3.888311899,3.933125163,3.530009876,3.852532016,4.257164956,4.102242945,3.942908163,Average
3.801213494,4.280411095,3.813813433,3.930159627,3.305891126,4.016760174,3.803380823,3.494393428,4.335985845,3.85390305,Average
4.117700917,3.720072334,4.221617356,3.612308626,3.713032627,4.263355884,3.954564112,4.337100267,3.499388292,3.910157944,Average
3.640416556,4.181434844,4.043803253,3.571334006,3.844690354,4.00553656,3.88875043,3.844132733,3.823113272,3.871294904,Average
3.925261971,3.770396088,4.037506501,3.818833732,3.834980691,3.847845391,3.706659345,4.078363973,3.942145203,3.875769778,Average
4.063047379,4.177971951,4.612608324,4.101832622,4.227832754,3.725187732,3.241349405,4.136094519,3.652721924,3.982021091,Average
4.01171219,4.394318919,4.226151658,3.724829561,3.96545694,4.276776325,4.430877037,3.683357202,3.90266452,4.076330897,Average
4.35103456,4.17438185,3.7643367,3.88383682,3.978917462,3.96112435,3.525790512,3.756869571,4.093119862,3.95667869,Average
4.530310557,4.260536998,4.145716023,4.433849097,4.486753772,4.352576077,4.539471251,4.446000143,4.541099738,4.425874759,Above Average
4.713007083,4.450678465,4.675475265,3.994885173,4.29156202,4.695463673,4.587567913,4.590825141,4.188547457,4.457180652,Above Average
4.915930909,4.525110079,4.656919795,4.155693837,4.636308332,4.631509621,4.877731006,4.269063203,4.620803908,4.608466807,Excellent
4.262380966,4.269705964,4.358271321,4.505126325,4.401861247,4.45719582,4.420759481,4.523529584,4.293935692,4.379660721,Above Average
4.771267885,4.465342707,4.447866731,4.547079215,4.503354972,4.483688781,4.459480147,4.494350802,4.598512352,4.533761934,Above Average
4.201573089,4.732975392,4.432216863,4.616602382,4.459190924,4.46122138,4.798147806,4.412831382,4.548527373,4.520892887,Above Average
4.33120965,4.466326893,4.258900328,4.436061389,4.558917543,4.302414915,4.4853443,4.588958463,4.31186457,4.422199232,Above Average
4.670163918,4.394093558,4.232467183,4.581355446,4.413441129,4.304533646,4.166590515,4.374126527,4.552724595,4.414513466,Above Average
4.397674845,4.246034711,4.622090409,4.144625234,4.755545845,4.426002409,4.882599885,4.366077447,4.370570106,4.486110118,Above Average
4.673882689,4.057427879,4.493477493,4.592953411,4.29217345,4.479711997,4.495986983,4.720795627,4.567520172,4.46972587,Above Average
4.15580022,4.296213475,4.494768746,4.71975237,4.728415381,4.145366798,4.32055859,4.304624955,4.415888292,4.405741146,Above Average
4.503715036,4.553117203,4.835007534,4.271706214,4.572959252,4.404003367,4.134275518,4.731191116,4.645563046,4.513248611,Above Average
4.436834315,4.529606311,4.601075779,4.172334543,4.635398752,4.591778686,4.234794243,4.706419721,4.507629376,4.491735665,Above Average
4.666097544,4.38398796,4.565753529,4.535560444,4.439281429,4.562151995,5,4.884578073,4.522955179,4.610081879,Excellent
4.465024535,4.503682115,4.107659033,4.396031319,4.466726028,4.582369635,4.166943216,4.656301035,4.562363539,4.434932328,Above Average
4.401588833,4.453523971,4.216902923,3.931692115,4.424537,4.550286512,4.386734605,4.350744588,4.76254409,4.402700891,Above Average
4.279002001,4.234623734,4.821666099,4.313565449,4.360066899,4.686037533,4.933695464,5,4.440359386,4.539844366,Above Average
4.423808709,4.626845148,4.297461583,4.638283748,4.487902981,4.838480983,4.209650917,4.444472583,4.641895408,4.506194313,Above Average
4.583973067,4.295162651,4.17517491,4.790963621,4.83952508,4.19308127,4.880562498,4.338019495,4.61165291,4.550749933,Above Average
4.774822121,4.377977648,4.632881837,4.357350487,4.306990578,4.611246999,4.362923956,4.600574349,4.500542117,4.491096281,Above Average
4.555859183,4.702890492,4.59382629,4.569723222,4.945200261,4.390717435,4.448988531,4.478825824,4.634100499,4.611898013,Excellent
4.596481525,4.310483632,4.698607403,4.522696199,4.361670616,4.626809037,4.364949236,4.796344379,4.614293193,4.523834984,Above Average
4.128243271,4.517734811,4.352133463,4.317096916,4.457202994,4.425527171,4.685400159,4.533543918,4.76947926,4.471949981,Above Average
4.364737552,4.412721796,4.488550718,4.576509781,4.679930146,4.572015587,4.414805593,4.643761618,4.403608954,4.503807861,Above Average
4.491100786,4.401417544,4.273723612,4.413392746,4.480094883,4.515035374,4.342674329,4.93959813,4.527925887,4.481157521,Above Average
4.504429487,4.645766449,4.627576417,4.312840622,4.389115189,4.716652483,4.554833988,4.470224729,4.730114557,4.547516261,Above Average
4.529549377,3.988295956,4.285080789,3.971763862,4.588440838,4.470843634,4.383457988,4.606834805,4.514443097,4.38208361,Above Average
4.619807214,4.710997564,4.273197946,4.161774209,4.491446202,4.632354254,4.44921993,4.616146685,4.530569403,4.507576568,Above Average
4.24506667,4.760082592,4.41097816,4.700074748,4.09082983,4.289386828,4.343165846,4.400627646,4.464295301,4.397205846,Above Average
4.554254622,4.313670178,4.502460886,4.405972021,4.478497754,4.582066713,4.294335528,4.601088808,4.307447444,4.440790459,Above Average
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,5,,,
